東西線 土曜・休日 下り（太秦天神川方面） 列車時刻表,,,,,,,,,,,,,,,,,,,,
"※終着駅は着時刻 , その他は発時刻を表示しています｡",,,,,,,,,,,,,,,,,,,,
※京津線区間は一部の駅のみ表示しています｡,,,,,,,,,,,,,,,,,,,,
行先（終着）,始発,六地蔵,石田,醍醐,小野,椥辻,東野,山科,御陵,蹴上,東山,三条京阪,京都市役所前,烏丸御池,二条城前,二条,西大路御池,太秦天神川,びわ湖浜大津,四宮
太秦天神川,六地蔵,16:52,16:54,16:56,16:58,17:01,17:03,17:05,17:08,17:11,17:13,17:14,17:16,17:18,17:20,17:22,17:24,17:27,,
太秦天神川,びわ湖浜大津,,,,,,,,17:11,17:14,17:16,17:17,17:19,17:21,17:23,17:25,17:27,17:29,16:54,17:06
太秦天神川,六地蔵,17:00,17:02,17:04,17:06,17:08,17:10,17:13,17:16,17:18,17:20,17:22,17:24,17:26,17:28,17:30,17:32,17:34,,
太秦天神川,六地蔵,17:07,17:09,17:11,17:13,17:16,17:18,17:20,17:23,17:26,17:28,17:29,17:31,17:33,17:35,17:37,17:39,17:42,,
太秦天神川,びわ湖浜大津,,,,,,,,17:28,17:30,17:32,17:34,17:36,17:38,17:39,17:42,17:44,17:46,17:11,17:23
太秦天神川,六地蔵,17:14,17:16,17:18,17:20,17:23,17:25,17:27,17:30,17:33,17:35,17:36,17:38,17:40,17:42,17:44,17:46,17:49,,
太秦天神川,六地蔵,17:22,17:24,17:26,17:28,17:31,17:33,17:35,17:38,17:41,17:43,17:44,17:46,17:48,17:50,17:52,17:54,17:57,,
太秦天神川,六地蔵,17:31,17:33,17:35,17:37,17:39,17:41,17:44,17:47,17:49,17:51,17:53,17:55,17:57,17:59,18:01,18:03,18:05,,
太秦天神川,びわ湖浜大津,,,,,,,,17:49,17:52,17:54,17:55,17:57,17:59,18:01,18:03,18:05,18:07,17:31,17:43
太秦天神川,六地蔵,17:41,17:43,17:45,17:47,17:50,17:52,17:54,17:57,18:00,18:02,18:03,18:05,18:07,18:09,18:11,18:13,18:16,,
太秦天神川,びわ湖浜大津,,,,,,,,18:02,18:04,18:06,18:08,18:10,18:12,18:13,18:16,18:18,18:20,17:45,17:57
太秦天神川,六地蔵,17:52,17:54,17:56,17:58,18:00,18:02,18:05,18:08,18:10,18:12,18:14,18:16,18:18,18:20,18:22,18:24,18:26,,
太秦天神川,六地蔵,18:01,18:03,18:05,18:07,18:09,18:11,18:14,18:17,18:19,18:21,18:23,18:25,18:27,18:29,18:31,18:33,18:35,,
太秦天神川,びわ湖浜大津,,,,,,,,18:19,18:22,18:24,18:25,18:27,18:29,18:31,18:33,18:35,18:37,18:02,18:14
太秦天神川,六地蔵,18:11,18:13,18:15,18:17,18:20,18:22,18:24,18:27,18:30,18:32,18:33,18:35,18:37,18:39,18:41,18:43,18:46,,
太秦天神川,びわ湖浜大津,,,,,,,,18:34,18:36,18:38,18:40,18:42,18:44,18:45,18:48,18:50,18:52,18:17,18:29
太秦天神川,六地蔵,18:22,18:24,18:26,18:28,18:31,18:33,18:35,18:38,18:41,18:43,18:44,18:46,18:48,18:50,18:52,18:54,18:57,,
太秦天神川,六地蔵,18:33,18:35,18:37,18:39,18:42,18:44,18:46,18:49,18:52,18:54,18:55,18:57,18:59,19:01,19:03,19:05,19:08,,
太秦天神川,びわ湖浜大津,,,,,,,,18:54,18:56,18:58,19:00,19:02,19:04,19:05,19:08,19:10,19:12,18:37,18:49
太秦天神川,六地蔵,18:43,18:45,18:47,18:49,18:52,18:54,18:56,18:59,19:02,19:04,19:05,19:07,19:09,19:11,19:13,19:15,19:18,,
太秦天神川,六地蔵,18:53,18:55,18:57,18:59,19:02,19:04,19:06,19:09,19:12,19:14,19:15,19:17,19:19,19:21,19:23,19:25,19:28,,
太秦天神川,びわ湖浜大津,,,,,,,,19:13,19:15,19:17,19:19,19:21,19:23,19:24,19:27,19:29,19:31,18:56,19:08
太秦天神川,六地蔵,19:02,19:04,19:06,19:08,19:10,19:12,19:15,19:18,19:20,19:22,19:24,19:26,19:28,19:30,19:32,19:34,19:36,,
太秦天神川,六地蔵,19:12,19:14,19:16,19:18,19:20,19:22,19:25,19:28,19:30,19:32,19:34,19:36,19:38,19:40,19:42,19:44,19:46,,
太秦天神川,びわ湖浜大津,,,,,,,,19:31,19:33,19:35,19:37,19:38,19:40,19:42,19:44,19:46,19:49,19:13,19:25
太秦天神川,六地蔵,19:22,19:24,19:26,19:28,19:30,19:32,19:35,19:38,19:40,19:42,19:44,19:46,19:48,19:50,19:52,19:54,19:56,,
太秦天神川,びわ湖浜大津,,,,,,,,19:43,19:45,19:47,19:49,19:50,19:52,19:54,19:56,19:58,20:01,19:26,19:38
太秦天神川,六地蔵,19:32,19:34,19:36,19:38,19:41,19:43,19:45,19:48,19:50,19:52,19:54,19:55,19:57,19:59,20:01,20:03,20:06,,
太秦天神川,六地蔵,19:42,19:44,19:46,19:48,19:50,19:52,19:54,19:57,20:00,20:02,20:03,20:05,20:07,20:09,20:11,20:13,20:15,,
太秦天神川,びわ湖浜大津,,,,,,,,20:02,20:04,20:06,20:08,20:09,20:11,20:13,20:15,20:17,20:20,19:45,19:57
太秦天神川,六地蔵,19:51,19:53,19:55,19:57,19:59,20:01,20:03,20:06,20:09,20:11,20:12,20:14,20:16,20:18,20:20,20:22,20:24,,
太秦天神川,六地蔵,20:00,20:02,20:04,20:06,20:08,20:10,20:12,20:15,20:18,20:20,20:21,20:23,20:25,20:27,20:29,20:31,20:33,,
太秦天神川,びわ湖浜大津,,,,,,,,20:21,20:23,20:25,20:27,20:28,20:30,20:32,20:34,20:36,20:39,20:04,20:16
太秦天神川,六地蔵,20:09,20:11,20:13,20:15,20:17,20:19,20:21,20:24,20:27,20:29,20:30,20:32,20:34,20:36,20:38,20:40,20:42,,
太秦天神川,六地蔵,20:21,20:23,20:25,20:27,20:29,20:31,20:33,20:36,20:39,20:41,20:42,20:44,20:46,20:48,20:50,20:52,20:54,,
太秦天神川,びわ湖浜大津,,,,,,,,20:41,20:44,20:46,20:47,20:49,20:51,20:53,20:55,20:57,20:59,20:24,20:36
太秦天神川,六地蔵,20:31,20:33,20:35,20:37,20:40,20:42,20:44,20:47,20:49,20:51,20:53,20:54,20:56,20:58,21:00,21:02,21:05,,
太秦天神川,六地蔵,20:41,20:43,20:45,20:47,20:50,20:52,20:54,20:57,20:59,21:01,21:03,21:04,21:06,21:08,21:10,21:12,21:15,,
太秦天神川,びわ湖浜大津,,,,,,,,21:01,21:04,21:05,21:07,21:09,21:10,21:12,21:14,21:16,21:19,20:44,20:56
太秦天神川,六地蔵,20:54,20:56,20:58,21:00,21:02,21:04,21:06,21:09,21:12,21:14,21:15,21:17,21:19,21:21,21:23,21:25,21:27,,
太秦天神川,六地蔵,21:04,21:06,21:08,21:10,21:12,21:14,21:16,21:19,21:21,21:23,21:25,21:26,21:28,21:30,21:32,21:34,21:37,,
